день,хмарність,опади,денна температура повітря,нічна температура повітря,сила вітру,період
1,72%,-,13.5°C,6.0°C,4 м/с,2023-04
2,100%,1 м.м.,8.0°C,8.5°C,3 м/с,2023-04
3,100%,2 м.м.,6.0°C,6.0°C,4 м/с,2023-04
4,100%,-,5.0°C,2.0°C,3 м/с,2023-04
5,87%,4 м.м.,7.5°C,3.0°C,5 м/с,2023-04
6,95%,1 м.м.,10.5°C,9.0°C,5 м/с,2023-04
7,60%,-,11.5°C,4.5°C,2 м/с,2023-04
8,88%,1 м.м.,14.5°C,7.5°C,1 м/с,2023-04
9,58%,2 м.м.,14.0°C,8.0°C,3 м/с,2023-04
10,87%,2 м.м.,11.5°C,9.0°C,4 м/с,2023-04
11,44%,-,15.0°C,6.5°C,4 м/с,2023-04
12,100%,7 м.м.,9.0°C,8.5°C,4 м/с,2023-04
13,99%,-,11.5°C,9.0°C,2 м/с,2023-04
14,100%,1 м.м.,8.0°C,8.0°C,4 м/с,2023-04
15,100%,1 м.м.,5.0°C,5.0°C,6 м/с,2023-04
16,75%,-,10.0°C,6.0°C,4 м/с,2023-04
17,49%,-,14.0°C,7.5°C,4 м/с,2023-04
18,90%,-,13.5°C,8.0°C,3 м/с,2023-04
19,65%,-,16.0°C,8.0°C,4 м/с,2023-04
20,85%,1 м.м.,9.0°C,8.5°C,5 м/с,2023-04
21,95%,-,11.5°C,7.5°C,3 м/с,2023-04
22,21%,-,16.0°C,7.0°C,3 м/с,2023-04
23,30%,-,17.5°C,11.0°C,1 м/с,2023-04
24,37%,-,17.5°C,11.5°C,3 м/с,2023-04
25,27%,-,17.5°C,9.5°C,3 м/с,2023-04
26,67%,-,12.0°C,10.0°C,3 м/с,2023-04
27,99%,2 м.м.,6.0°C,6.5°C,4 м/с,2023-04
28,25%,-,12.5°C,4.5°C,5 м/с,2023-04
29,47%,-,13.5°C,5.0°C,4 м/с,2023-04
30,86%,-,11.5°C,7.0°C,4 м/с,2023-04
1,65%,-,2.5°C,-1.0°C,4 м/с,2023-03
2,10%,-,5.5°C,-1.0°C,4 м/с,2023-03
3,73%,-,5.0°C,1.5°C,4 м/с,2023-03
4,46%,-,5.0°C,0.5°C,6 м/с,2023-03
5,47%,-,2.5°C,-2.0°C,5 м/с,2023-03
6,76%,-,2.0°C,-1.0°C,3 м/с,2023-03
7,70%,-,6.0°C,0.5°C,3 м/с,2023-03
8,57%,-,7.0°C,1.5°C,4 м/с,2023-03
9,82%,1 м.м.,10.5°C,3.5°C,4 м/с,2023-03
10,46%,-,6.0°C,1.0°C,3 м/с,2023-03
11,81%,1 м.м.,7.0°C,5.5°C,4 м/с,2023-03
12,86%,1 м.м.,3.0°C,2.0°C,7 м/с,2023-03
13,39%,-,7.0°C,0.0°C,4 м/с,2023-03
14,38%,-,12.0°C,4.5°C,8 м/с,2023-03
15,55%,-,11.5°C,4.0°C,4 м/с,2023-03
16,100%,-,5.0°C,6.0°C,4 м/с,2023-03
17,100%,-,3.0°C,1.5°C,5 м/с,2023-03
18,62%,-,7.0°C,3.0°C,3 м/с,2023-03
19,2%,-,11.0°C,1.5°C,2 м/с,2023-03
20,35%,-,11.5°C,2.5°C,2 м/с,2023-03
21,72%,-,13.0°C,7.0°C,2 м/с,2023-03
22,86%,-,10.5°C,8.0°C,1 м/с,2023-03
23,69%,-,15.0°C,7.5°C,3 м/с,2023-03
24,80%,-,15.0°C,11.0°C,4 м/с,2023-03
25,89%,2 м.м.,16.5°C,13.5°C,4 м/с,2023-03
26,65%,-,13.5°C,10.0°C,4 м/с,2023-03
27,49%,-,14.5°C,6.5°C,4 м/с,2023-03
28,100%,4 м.м.,7.5°C,9.0°C,6 м/с,2023-03
29,88%,-,0.5°C,-2.5°C,7 м/с,2023-03
30,6%,-,6.5°C,-2.5°C,3 м/с,2023-03
31,83%,1 м.м.,7.0°C,2.5°C,3 м/с,2023-03
1,93%,-,0.5°C,-1.5°C,4 м/с,2023-02
2,99%,-,1.5°C,0.5°C,3 м/с,2023-02
3,95%,-,0.0°C,0.5°C,3 м/с,2023-02
4,94%,-,-2.0°C,-3.5°C,3 м/с,2023-02
5,99%,-,-3.5°C,-6.0°C,4 м/с,2023-02
6,90%,-,-3.5°C,-4.5°C,4 м/с,2023-02
7,75%,-,-3.5°C,-6.0°C,2 м/с,2023-02
8,4%,-,-2.0°C,-9.0°C,2 м/с,2023-02
9,39%,-,-2.5°C,-9.0°C,2 м/с,2023-02
10,16%,-,0.0°C,-7.0°C,4 м/с,2023-02
11,95%,-,0.5°C,-3.0°C,5 м/с,2023-02
12,37%,1 м.м.,-1.0°C,-1.0°C,6 м/с,2023-02
13,69%,-,0.5°C,-5.0°C,4 м/с,2023-02
14,95%,-,1.5°C,1.5°C,6 м/с,2023-02
15,66%,-,-0.5°C,-1.5°C,4 м/с,2023-02
16,83%,-,1.5°C,-3.0°C,1 м/с,2023-02
17,90%,-,2.5°C,0.0°C,1 м/с,2023-02
18,83%,2 м.м.,7.0°C,2.0°C,7 м/с,2023-02
19,65%,-,3.5°C,1.5°C,5 м/с,2023-02
20,41%,1 м.м.,3.5°C,-0.5°C,7 м/с,2023-02
21,86%,1 м.м.,5.5°C,4.5°C,8 м/с,2023-02
22,73%,-,0.0°C,-1.5°C,4 м/с,2023-02
23,1%,-,0.5°C,-4.5°C,2 м/с,2023-02
24,93%,-,2.5°C,-2.0°C,6 м/с,2023-02
25,84%,-,9.5°C,3.0°C,6 м/с,2023-02
26,73%,-,5.0°C,2.5°C,3 м/с,2023-02
27,79%,-,2.5°C,0.5°C,3 м/с,2023-02
28,23%,-,4.0°C,-1.0°C,3 м/с,2023-02
1,47%,-,11.5°C,6.5°C,6 м/с,2023-01
2,19%,-,10.0°C,8.0°C,3 м/с,2023-01
3,47%,-,9.5°C,6.5°C,5 м/с,2023-01
4,75%,-,4.0°C,4.5°C,5 м/с,2023-01
5,100%,1 м.м.,6.5°C,2.0°C,6 м/с,2023-01
6,85%,-,-2.5°C,3.5°C,5 м/с,2023-01
7,63%,-,-4.5°C,-6.5°C,3 м/с,2023-01
8,25%,-,-5.0°C,-8.0°C,4 м/с,2023-01
9,96%,-,-3.5°C,-6.0°C,7 м/с,2023-01
10,19%,-,-2.5°C,-4.0°C,6 м/с,2023-01
11,38%,-,-3.5°C,-5.0°C,5 м/с,2023-01
12,40%,-,-2.5°C,-6.5°C,3 м/с,2023-01
